Format,count,X,Y,Z
CSV_FORMAT_IMU,876,24.48,-9.23,-177.80
CSV_FORMAT_IMU,878,23.54,-9.25,-179.13
CSV_FORMAT_IMU,880,22.63,-9.25,179.60
CSV_FORMAT_IMU,882,21.68,-9.23,178.43
CSV_FORMAT_IMU,884,20.96,-9.20,177.12
CSV_FORMAT_IMU,886,20.02,-9.14,175.95
CSV_FORMAT_IMU,888,19.11,-9.07,174.68
CSV_FORMAT_IMU,890,18.21,-8.97,173.36
CSV_FORMAT_IMU,892,17.27,-8.85,172.10
CSV_FORMAT_IMU,894,16.37,-8.71,170.76
CSV_FORMAT_IMU,896,15.44,-8.54,169.50
CSV_FORMAT_IMU,898,14.55,-8.37,168.24
CSV_FORMAT_IMU,900,13.60,-8.16,167.07
CSV_FORMAT_IMU,902,12.71,-7.94,165.78
CSV_FORMAT_IMU,904,11.83,-7.70,164.56
CSV_FORMAT_IMU,906,10.93,-7.44,163.37
CSV_FORMAT_IMU,908,10.06,-7.16,161.69
CSV_FORMAT_IMU,910,9.32,-6.91,160.49
CSV_FORMAT_IMU,912,8.47,-6.59,159.05
CSV_FORMAT_IMU,914,7.65,-6.26,157.46
CSV_FORMAT_IMU,916,6.87,-5.92,155.98
CSV_FORMAT_IMU,918,6.33,-5.67,154.68
CSV_FORMAT_IMU,920,5.93,-5.48,153.92
CSV_FORMAT_IMU,922,5.71,-5.37,153.46
CSV_FORMAT_IMU,924,5.65,-5.34,153.26
CSV_FORMAT_IMU,926,5.65,-5.34,153.28
CSV_FORMAT_IMU,928,5.65,-5.34,153.28
CSV_FORMAT_IMU,930,5.65,-5.34,153.28
CSV_FORMAT_IMU,932,5.65,-5.34,153.28
CSV_FORMAT_IMU,934,5.65,-5.34,153.28
CSV_FORMAT_IMU,936,5.65,-5.34,153.28
CSV_FORMAT_IMU,938,5.65,-5.34,153.28
CSV_FORMAT_IMU,940,5.65,-5.34,153.28
CSV_FORMAT_IMU,942,5.65,-5.34,153.28
CSV_FORMAT_IMU,944,5.65,-5.34,153.28
CSV_FORMAT_IMU,946,5.65,-5.34,153.28
CSV_FORMAT_IMU,948,5.65,-5.34,153.28
CSV_FORMAT_IMU,950,5.65,-5.34,153.28
CSV_FORMAT_IMU,952,5.65,-5.34,153.28
CSV_FORMAT_IMU,954,5.65,-5.34,153.28
CSV_FORMAT_IMU,956,5.65,-5.34,153.28
CSV_FORMAT_IMU,958,5.65,-5.34,153.28
CSV_FORMAT_IMU,960,5.65,-5.34,153.28
CSV_FORMAT_IMU,962,5.65,-5.34,153.28
CSV_FORMAT_IMU,964,5.65,-5.34,153.28
CSV_FORMAT_IMU,966,5.65,-5.34,153.28
